Error Kalman ,10.8792949387224
Error Suavizado Exponencial ,1.64370044134646
No. , Medido, F. Kalman, S. Exponencial
1,28.15,25.825044383922,28.15
2,29,27.3678074375751,28.575
3,29.25,28.0065569231807,28.9125
4,30.55,28.6895916350802,29.73125
5,31.75,29.3891659222935,30.740625
6,30.76666667,29.670250183111,30.753645835
7,29.525,29.6429139970181,30.1393229175
8,27.7,29.2978193839537,28.91966145875
9,25.8,28.7018039263774,27.359830729375
10,24.65,28.0316488146876,26.0049153646875
11,23.2,27.2494066809267,24.6024576823437
12,21.85833333,26.3898755228889,23.2303955061719
13,21.05833333,25.5491354959384,22.1443644180859
14,21.41666667,24.9026010217405,21.780515544043
15,22.63333333,24.5495721018615,22.2069244370215
16,23.70833333,24.4192309350797,22.9576288835107
17,23.9,24.3390152382532,23.4288144417554
18,24.55,24.3715422377129,23.9894072208777
19,25.425,24.5337085391456,24.7072036104388
20,26.76666667,24.8770754909828,25.7369351402194
21,28.45,25.4260700046129,27.0934675701097
22,29.95,26.1208075886397,28.5217337850549
23,31.59166667,26.9606328747162,30.0567002275274
24,30.05,27.4347438449076,30.0533501137637
25,36.08333333,28.7617338251246,33.0683417218819
26,36.875,30.0064058144929,34.9716708609409
27,36.05,30.9334687272421,35.5108354304705
28,34.65,31.5035269909759,35.0804177152352
29,34.75,32.0014589324891,34.9152088576176
30,34.00833333,32.3092540343652,34.4617710938088
31,32.225,32.2963323154714,33.3433855469044
32,30.85,32.0745182504595,32.0966927734522
33,28.45,31.5186586163568,30.2733463867261
34,27.25,30.8640196253998,28.7616731933631
35,27.35833333,30.3263935322588,28.0600032616815
36,27.975,29.9657896944746,28.0175016308408
37,24.55,29.1352408153911,26.2837508154204
38,21.70833333,27.9962761338578,23.9960420727102
39,22.15,27.0997132965768,23.0730210363551
40,23.35,26.5246722123694,23.2115105181775
41,23.025,25.9879769617161,23.1182552590888
42,24.05,25.690777041736,23.5841276295444
43,22.65,25.2244566212864,23.1170638147722
44,21.95,24.7223002921155,22.5335319073861
45,23.75,24.5731926131685,23.141765953693
46,24.95,24.6309781198314,24.0458829768465
47,29.03333333,25.3061036448675,26.5396081534233
48,29.9,26.0106029976464,28.2198040767116
49,36.475,27.6153759062936,32.3474020383558
50,35.96666667,28.8960922733521,34.1570343541779
51,34.825,29.8053228464151,34.491017177089
52,35.8,30.7246394992078,35.1455085885445
53,36.375,31.5911532859835,35.7602542942722
54,33.73333333,31.9196683466096,34.7467938121361
55,33.65,32.185024193042,34.1983969060681
56,32.85,32.2870018785943,33.524198453034
57,30.45,32.0052875709438,31.987099226517
58,26.9,31.2223637367505,29.4435496132585
59,25.08333333,30.2809097742566,27.2634414716293
60,26.05,29.6320765698834,26.6567207358146
61,25.6,29.0137355282463,26.1283603679073
62,23.78333333,28.2116246859908,24.9558468489537
63,22.05,27.2667057696783,23.5029234244768
64,21.31666667,26.3542346636329,22.4097950472384
65,22.525,25.7670005439531,22.4673975236192
66,25.09166667,25.6634343924667,23.7795320968096
67,26.75,25.8300651825865,25.2647660484048
68,29.1,26.331527607715,27.1823830242024
69,28.9,26.725416924877,28.0411915121012
70,28.54166667,27.0039487767927,28.2914290910506
71,29.65,27.4097352339112,28.9707145455253
72,31.5,28.0369997519998,30.2353572727626
73,25.45833333,27.6415471250327,27.8468453013813
74,28.625,27.7923650144026,28.2359226506907
75,30.725,28.2421006611985,29.4804613253453
76,32.35,28.8720695375523,30.9152306626727
77,33.55,29.5894558087805,32.2326153313363
78,34.725,30.3770196552269,33.4788076656682
79,33.69166667,30.8853389382945,33.5852371678341
80,30.56666667,30.8364687991772,32.075951918917
81,28.45,30.4704907302172,30.2629759594585
82,27.25,29.9766108269234,28.7564879797293
83,25.70833333,29.3220470793828,27.2324106548646
84,24.00833333,28.5071599565746,25.6203719924323
85,22.65,27.6089323793456,24.1351859962162
86,21.7,26.7027652166805,22.9175929981081
87,23.9,26.2729458095332,23.408796499054
88,26.3,26.2770947168163,24.854398249527
89,28.53333333,26.6231012740019,26.6938657897635
90,29.45833333,27.0578996456639,28.0760995598818
91,30.65,27.6087679213506,29.3630497799409
92,33.09166667,28.4496004935823,31.2273582249704
93,34.75,29.4158012873096,32.9886791124852
94,35.95,30.4178564685457,34.4693395562426
95,33.35,30.867516747471,33.9096697781213
96,29.75,30.6961394293394,31.8298348890607
97,28.55,30.3670171859432,30.1899174445303
98,29.75,30.2723942201045,29.9699587222652
99,30.95,30.376308779328,30.4599793611326
100,32.15,30.6483140474526,31.3049896805663
101,34,31.1623134565435,32.6524948402831
102,33.1,31.4594683063243,32.8762474201416
103,30.55,31.3199963563917,31.7131237100708
104,28.1,30.8261922691791,29.9065618550354
105,26.35,30.1397436523225,28.1282809275177
106,25.5,29.4282135360897,26.8141404637589
107,26.45,28.9714881694706,26.6320702318794
108,27.65,28.7688307157193,27.1410351159397
109,27.56666667,28.5844722718806,27.3538508929699
110,26.35,28.2418037024653,26.8519254464849
111,25.15,27.7676586619329,26.0009627232425
112,22.9,27.021176530149,24.4504813616212
113,22,26.2511515917698,23.2252406808106
114,24.975,26.0554467497465,24.1001203404053
115,25.6,25.9856014929616,24.8500601702027
116,27.5,26.2178428027037,26.1750300851013
117,29.9,26.7825217878666,28.0375150425507
118,29.7,27.2299330604003,28.8687575212753
119,27.45833333,27.2649594952737,28.1635454256377
120,28.8,27.5003663677346,28.4817727128188
